GSPC;DJI
0,10384739;-4,526575005
-0,629222635;5,304203
0,202879873;-1,184666874
-0,070586831;-0,777579932
0,174941392;-3,789098513
0,61308027;-5,397576291
0,465236854;-6,878052855
0,062840248;5,625385069
-0,108339564;-1,431246237
-0,316421981;2,400738747
0,27022232;-4,260680674
-0,548094492;3,471115212
0,334664864;-4,099215499
0,827647824;-4,474325635
-1,152284654;12,59262216
-0,139771747;-0,830126771
-0,128660953;2,809803181
0,556644006;-4,398498138
0,638218745;-5,077277809
0,515039297;-1,08602712
0,150395834;-2,280856829
-0,115613364;4,532506438
0,050870567;0,918649933
0,120501084;-3,1723665
-0,136902148;1,13132895
-0,729143454;6,105299296
-0,345577089;4,467415449
0,737971654;-11,60944595
0,742595359;-1,094282202
0,084799723;-0,122552809
-0,106122011;-2,001102202
0,265121959;2,147099105
-0,159449652;-0,416143222
-0,104698279;-0,221024207
-0,375909775;3,829288241
-0,144395147;5,222653858
-3,553171924;49,57602733
0,535642636;-17,20294688
-0,278686416;2,53620613
-1,165732026;16,21766291
-0,964126807;5,311230006
1,518572224;-20,72208982
-0,265737258;-4,640957466
0,691228934;-6,461109122
0,048833372;-1,434219893
0,248764036;-0,737007013
-2,076763436;25,8977648
0,64798219;-4,884461035
0,348792127;-5,010949301
-0,402471404;2,14270657
1,064651102;-14,0694701
0,61244229;-9,507804709
1,674758502;-8,513743775
-0,053754148;5,868671639
0,090473297;0,129806246
0,077837634;1,583860485
-0,639261905;2,377764669
-0,818674333;10,52613397
0,354369021;1,037673702
-0,136374371;-3,383027238
0,24046388;-0,778956385
0,904824885;-7,674068627
0,09231399;-1,672730661
0,285625578;-0,100310528
0,039949153;-0,707349797
0,242416808;-3,588259695
-0,678358367;6,167518831
0,599805845;-5,980711792
0,32928729;-4,120066636
1,040948412;-1,844489195
0,19539544;1,301966004
0,050389468;2,255475797
-0,139183241;0,93679258
0,902902883;-3,8448033
-0,249570299;7,705098849
-0,05402643;0,586869412
0,989897543;0,658880212
-0,097178298;-3,255803584
-0,03095636;-2,719052558
-0,805080703;13,26812686
0,245862975;-5,14668053
0,626253003;-3,259333884
0,412669338;0,051670099
0,195852833;-1,409390796
0,237137879;1,817202086
-0,135570912;0,430482701
0,302915785;-2,554593076
